"ID","성별","연령","거주지역"
"Q05910452","F","29","서울 서초구 서초4동"
"Q00509389","M","20","경기 화성시 봉담읍"
"Q59112261","M","30","서울 서초구 서초4동"
"Q38120745","F","28","인천 중구 항동7가"
"Q18530082","F","42","강원 인제군 북면"
"Q96740162","F","25","경기 성남시 분당구 야탑동"
"Q75402999","M","39","서울 서초구 잠원동"
"Q62692862","F","57","부산 기장군 정관면"
"Q80944192","F","49","서울 서초구 잠원동"
"Q04214889","F","34","서울 서초구 방배4동"
"Q88091284","M","25","경기 양주시 장흥면"
"Q05499223","F","49","서울 서초구 반포4동"
"Q21605061","F","28","경기 파주시 금촌2동"
"Q00596254","F","34","서울 서초구 잠원동"
"Q29512940","F","29","경기 파주시 조리읍"
"Q62780297","F","37","서울 서초구 서초4동"
"Q53910360","F","45","서울 동작구 흑석동"
"Q60234934","F","30","서울 노원구 공릉동"
"Q43764165","F","59","서울 서초구 반포1동"
"Q00077269","F","28","서울 송파구 잠실3동"
"Q68468034","F","51","경기 고양시 일산동구 장항동"
"Q60389796","F","23","부산 영도구 동삼1동"
"Q21927040","M","23","서울 서초구 잠원동"
"Q40737595","M","52","서울 서초구 서초1동"
"Q78047765","M","35","서울 서초구 잠원동"
"Q56218410","F","35","서울 서초구 잠원동"
"Q20894106","F","43","서울 서초구 반포2동"
"Q27698009","F","23","광주 광산구 장덕동"
"Q54561039","M","27","충남 계룡시 신도안면"
"Q19291722","F","35","서울 강북구 번1동"
"Q54383420","M","34","경기 용인시 기흥구 마북동"
"Q91168943","F","30","서울 서초구 잠원동"
"Q74106005","F","67","서울 서초구 반포1동"
"Q01262587","F","57","경기 양주시 장흥면"
"Q93567295","M","35","서울 서초구 잠원동"
"Q13814360","F","76","서울 송파구 문정2동"
"Q95662029","F","31","인천 서구 당하동"
"Q40744347","F","34","서울 서초구 서초1동"
"Q05481837","F","29","강원 춘천시 석사동"
"Q18699753","F","38","경기 평택시 용이동"
"Q17008550","M","36","서울 양천구 신월2동"
"Q12079356","F","26","대구 달서구 상인1동"
"Q53614338","F","37","서울 서초구 잠원동"
"Q36349613","F","21","경기 파주시 와동동"
"Q40085792","M","27","제주 제주시 노형동"
"Q81562991","F","28","인천 남동구 논현동"
"Q43845217","F","58","서울 노원구 중계3동"
"Q68691800","F","74","울산 남구 삼산동"
"Q06049158","F","39","서울 서초구 잠원동"
"Q12190770","M","29","서울 서초구 잠원동"
"Q72724583","F","47","전남 광양시 마동"
"Q98873914","M","56","경기 고양시 덕양구 성사1동"
"Q40934328","F","33","서울 관악구 봉천동"
"Q87341464","F","28","경기 광주시 초월읍"
"Q27089778","F","25","서울 서초구 잠원동"
"Q98037082","M","23","서울 용산구 한강로1가"
"Q45124244","F","69","서울 서초구 잠원동"
"Q40650007","F","30","서울 강서구 화곡동"
"Q41961499","M","57","경기 고양시 덕양구 고양동"
"Q22779081","M","35","대구 수성구 지산동"
"Q08544732","M","70","서울 강북구 수유동"
"Q01504069","F","28","대전 서구 도마동"
"Q88135698","F","23","경북 구미시 형곡동"
"Q94142726","F","52","경기 양주시 장흥면"
"Q59892674","F","24","충북 영동군 황간면"
"Q65616663","F","28","인천 부평구 부개3동"
"Q00744098","M","30","서울 서초구 잠원동"
"Q25647489","F","25","경기 고양시 일산동구 성석동"
"Q31836433","F","30","경기 고양시 덕양구 화정2동"
"Q77251306","F","50","경기 고양시 덕양구 원흥동"
"Q64102982","M","77","서울 서초구 서초4동"
"Q18375568","F","56","경기 시흥시 정왕동"
"Q86911161","F","74","서울 서초구 잠원동"
"Q32750017","F","20","경기 고양시 일산동구 마두1동"
"Q94133456","M","40","서울 서초구 반포4동"
"Q13396203","F","24","경기 양주시 장흥면"
"Q65544519","F","41","서울 서초구 서초1동"
"Q95783245","F","30","서울 서초구 잠원동"
"Q33748620","F","70","경기 고양시 덕양구 관산동"
"Q96511763","F","29","서울 서초구 잠원동"
"Q87003049","M","24","전북 익산시 부송동"
"Q92259246","F","49","서울 서초구 서초3동"
"Q51854969","F","33","경기 성남시 분당구 구미동"
"Q74148392","F","46","경기 양주시 장흥면"
"Q08386257","M","34","경기 양주시 장흥면"
"Q66794077","F","34","경기 양주시 장흥면"
"Q27008396","F","22","서울 양천구 신정3동"
"Q18881534","F","46","경기 용인시 기흥구 청덕동"
"Q04122525","F","73","서울 서초구 서초4동"
"Q28712526","M","37","경기 안양시 동안구 평안동"
"Q25008223","F","33","서울 서초구 반포본동"
"Q82837663","F","44","서울 용산구 동빙고동"
"Q05747909","M","30","인천 계양구 작전동"
"Q69564070","F","24","서울 광진구 화양동"
"Q92633344","M","37","서울 송파구 가락본동"
"Q24588916","F","44","서울 서초구 반포1동"
"Q53200076","F","52","서울 서초구 서초3동"
"Q86509542","F","41","서울 서초구 잠원동"
"Q11660421","F","33","서울 서초구 서초4동"
"Q59835475","F","54","서울 광진구 구의2동"
"Q79491687","F","38","서울 서초구 잠원동"
"Q02466088","F","50","경기 고양시 덕양구 고양동"
"Q61712815","F","64","충남 천안시 쌍용3동"
"Q76157611","F","51","경기 고양시 덕양구 동산동"
"Q20754578","F","62","서울 서초구 서초3동"
"Q20171731","F","23","강원 원주시 봉산동"
"Q52263418","F","50","충북 음성군 대소면"
"Q63575480","F","62","서울 용산구 서빙고동"
"Q53298927","F","46","서울 서초구 서초4동"
"Q18728118","M","25","서울 서초구 서초1동"
"Q45509918","F","21","서울 서초구 반포1동"
"Q04592978","F","55","서울 서초구 서초4동"
"Q51142161","F","59","서울 강북구 미아동"
"Q36165893","M","29","서울 관악구 행운동"
"Q65849028","M","69","경기 고양시 덕양구 동산동"
"Q64652507","M","24","서울 서초구 잠원동"
"Q79247879","F","68","경기 고양시 덕양구 동산동"
"Q74884628","F","22","경기 고양시 덕양구 원흥동"
"Q36874680","F","38","서울 서초구 잠원동"
"Q95362279","F","32",""
"Q26509200","F","28","서울 광진구 구의1동"
"Q28747960","F","36","경기 군포시 산본동"
"Q77453454","F","46","서울 송파구 잠실2동"
"Q93530296","F","21","충남 공주시 신관동"
"Q16970903","F","58","서울 양천구 신정3동"
"Q64901152","M","41","서울 송파구 신천동"
"Q25530992","F","51","서울 서초구 잠원동"
"Q09999428","F","28","전남 여수시 미평동"
"Q08252261","F","24","경기 양주시 광적면"
"Q91473083","F","24","광주 서구 치평동"
"Q37624190","F","75","서울 서초구 잠원동"
"Q04247591","M","37","서울 서초구 잠원동"
"Q57034405","F","29","강원 정선군 정선읍"
"Q37447386","M","28","부산 금정구 장전1동"
"Q44028666","F","26","서울 서초구 잠원동"
"Q85468154","F","43","경기 양주시 장흥면"
"Q61879077","F","27","서울 동작구 노량진1동"
"Q57213114","F","58","서울 서초구 서초3동"
"Q70636465","F","43","서울 서초구 잠원동"
"Q52677591","F","25","서울 송파구 가락2동"
"Q07197602","F","49","인천 계양구 동양동"
"Q15922001","F","50","서울 서초구 서초4동"
"Q63608191","F","27","서울 관악구 신사동"
"Q32929426","F","32","서울 서초구 잠원동"
"Q37781869","F","33","서울 서초구 반포1동"
"Q76130207","F","32","서울 서초구 잠원동"
"Q08112408","F","26","울산 남구 선암동"
"Q52152441","F","25","서울 서초구 잠원동"
"Q73166516","F","40","서울 서초구 잠원동"
"Q76488011","M","44","서울 서초구 잠원동"
"Q77574588","F","28","서울 노원구 공릉3동"
"Q84138161","F","43","서울 서초구 반포1동"
"Q11475490","F","32","경기 고양시 덕양구 지축동"
"Q95624542","F","28","서울 서초구 잠원동"
"Q08269094","F","43","서울 서초구 잠원동"
"Q36829469","M","29","대구 수성구 상동"
"Q66100133","F","26","경기 시흥시 대야동"
"Q54230986","M","41","경기 고양시 일산서구 주엽2동"
"Q24895133","F","32","서울 강북구 번동"
"Q87914945","F","52","경기 고양시 덕양구 내유동"
"Q13864936","M","34","경기 고양시 덕양구 관산동"
"Q32216823","F","31","경기 양주시 장흥면"
"Q88059033","F","46","서울 서초구 잠원동"
"Q73378156","M","48","경기 고양시 덕양구 동산동"
"Q22583818","F","44","서울 서초구 잠원동"
"Q21311173","F","49","서울 서초구 잠원동"
"Q05943291","F","46","서울 서초구 잠원동"
"Q75735136","F","60","서울 서초구 서초3동"
"Q91212198","F","34","강원 영월군 영월읍"
"Q46153908","F","66","서울 서초구 서초4동"
"Q68998340","F","41","경기 부천시 오정구 원종동"
"Q00199883","F","24","대전 서구 둔산동"
"Q69614685","F","51","경기 고양시 일산동구 장항동"
"Q41251862","F","28","부산 금정구 구서2동"
"Q03865811","F","38","서울 서초구 잠원동"
"Q48293986","F","56","서울 서초구 서초4동"
"Q16786039","F","21","대전 서구 내동"
"Q29473183","F","45","서울 서초구 잠원동"
"Q89357299","M","40","세종 - 아름동"
"Q43355879","F","20","경기 파주시 금촌동"
"Q20875757","M","49","서울 광진구 자양동"
"Q08455811","F","60","서울 서초구 반포1동"
"Q37819384","F","71","경기 고양시 덕양구 원흥동"
"Q78518773","M","22","서울 서초구 잠원동"
"Q84435972","F","50","충남 태안군 태안읍"
"Q08557893","F","38","서울 강북구 송천동"
"Q60874539","F","64","경기 양주시 장흥면"
"Q55842191","F","32","경기 의정부시 가능3동"
"Q74332194","F","29","서울 서초구 잠원동"
"Q50034406","F","24","경기 부천시 소사구 괴안동"
"Q85833183","M","42","경기 고양시 덕양구 성사1동"
"Q79420513","F","54","서울 서초구 반포4동"
"Q24529504","M","46","서울 서초구 잠원동"
"Q90073484","M","50","경기 고양시 덕양구 화정2동"
"Q72368989","F","33","서울 강북구 번1동"
"Q09935340","F","41","서울 서초구 잠원동"
"Q82022442","F","46","서울 강북구 우이동"
"Q21392947","M","24","경기 화성시 동탄면"
"Q27944811","F","45","서울 강북구 미아동"
"Q12417640","F","30","경기 광주시 경안동"
"Q96849304","M","35","서울 서초구 잠원동"
"Q35356449","F","27","서울 송파구 오금동"
"Q73127262","F","28","서울 서초구 반포본동"
"Q12787945","M","58","경기 고양시 덕양구 동산동"
"Q75047657","F","54","서울 서초구 서초1동"
"Q25660527","F","28","서울 서초구 잠원동"
"Q75791386","F","52","서울 서초구 잠원동"
"Q99151013","F","30","서울 금천구 독산3동"
"Q69698069","F","71","서울 서초구 반포1동"
"Q93506917","M","26","서울 서초구 잠원동"
"Q50649158","F","31","부산 부산진구 범전동"
"Q23916833","F","25","경기 고양시 일산동구 풍동"
"Q78291359","F","31","경남 창원시 의창구 용호동"
"Q37091516","F","55","서울 서초구 잠원동"
"Q06106740","F","26","경기 안양시 만안구 석수2동"
"Q05877144","F","33","대전 유성구 구암동"
"Q60220993","F","73","서울 서초구 잠원동"
"Q02045600","F","75","경기 고양시 덕양구 지축동"
"Q01626544","F","29","경기 양주시 장흥면"
"Q35238410","M","28","경기 고양시 덕양구 벽제동"
"Q62118283","M","26","서울 영등포구 양평동4가"
"Q78415355","F","31","서울 강북구 인수동"
"Q54558052","F","23","부산 부산진구 부암1동"
"Q05136719","F","20","인천 남구 문학동"
"Q80619329","F","26","서울 서초구 서초3동"
"Q53391749","M","63","서울 서초구 잠원동"
"Q95108661","F","29","서울 서초구 잠원동"
"Q26167238","M","45","서울 서초구 서초3동"
"Q89317393","F","65","서울 서초구 반포1동"
"Q39231202","F","54","서울 강북구 인수동"
"Q87406657","M","44","서울 관악구 행운동"
"Q37432101","F","22","강원 원주시 명륜동"
"Q49814936","M","25","서울 관악구 중앙동"
"Q79417369","F","21","서울 노원구 중계본동"
"Q80328656","M","41","서울 서초구 잠원동"
"Q98648346","M","61","경기 고양시 덕양구 동산동"
"Q08046657","F","30","대구 남구 대명3동"
"Q87783185","F","53","서울 서초구 반포1동"
"Q23488191","F","38","서울 서초구 잠원동"
"Q09314745","F","42","경기 고양시 덕양구 관산동"
"Q94448061","F","34","서울 동작구 상도동"
"Q03831178","F","24","부산 강서구 명지동"
"Q49721382","M","61","경기 고양시 일산동구 백석동"
"Q67081644","M","41","경기 김포시 장기동"
"Q90032457","F","51","서울 서초구 잠원동"
"Q32727095","F","32","서울 강북구 미아동"
"Q09350782","M","24","제주 제주시 삼양이동"
"Q69521869","F","24","경기 파주시 조리읍"
"Q09588334","F","32","대전 동구 성남동"
"Q87391554","F","48","경기 양주시 장흥면"
"Q11714496","M","24","울산 남구 선암동"
"Q31910968","F","25","서울 강서구 방화2동"
"Q13022840","F","38","경기 성남시 분당구 삼평동"
"Q07034714","F","58","서울 서초구 반포1동"
"Q58971360","F","21","경기 의정부시 가능3동"
"Q20006895","F","42","서울 서초구 방배4동"
"Q01979985","F","67","서울 서초구 서초1동"
"Q07121814","F","56","서울 서초구 반포1동"
"Q65336283","F","28","서울 서초구 서초4동"
"Q16064122","F","20","서울 양천구 신정4동"
"Q36055354","F","42","서울 용산구 서빙고동"
"Q04141345","F","28","강원 강릉시 포남1동"
"Q73554976","F","28","서울 노원구 상계3동"
"Q97789354","F","63","서울 서초구 반포1동"
"Q57919589","F","33","서울 동작구 상도동"
"Q33884265","F","25","경기 고양시 덕양구 신원동"
"Q13672324","F","25","충남 부여군 부여읍"
"Q09790686","M","37","경기 남양주시 도농동"
"Q99168078","F","24","경기 파주시 조리읍"
"Q49585620","M","38","서울 용산구 산천동"
"Q67401676","M","34","경기 양평군 양평읍"
"Q84602317","F","25","서울 서초구 잠원동"
"Q81144285","M","68","경기 고양시 덕양구 신원동"
"Q23582225","F","22","충남 아산시 방축동"
"Q17520318","F","46","서울 서초구 잠원동"
"Q41642838","M","53","충북 청주시 상당구 금천동"
"Q08289146","F","59","경기 성남시 분당구 구미동"
"Q54513832","F","37","충남 천안시 성정2동"
"Q15796540","M","45","강원 원주시 학성동"
"Q62410385","F","28","서울 강서구 등촌동"
"Q13602911","M","42","서울 서초구 서초4동"
"Q82421491","F","42","서울 서초구 잠원동"
"Q85504290","F","66","서울 서초구 반포1동"
"Q43948077","F","44","서울 서초구 잠원동"
"Q49497855","F","53","서울 광진구 광장동"
"Q94760010","F","20","광주 서구 풍암동"
"Q08861218","M","37","경기 고양시 덕양구 내유동"
"Q73742537","F","52","인천 계양구 병방동"
"Q42984580","F","32","서울 서초구 잠원동"
"Q95889599","F","32","서울 강북구 삼각산동"
"Q46253833","F","70","서울 서초구 서초4동"
"Q02162125","F","28","서울 구로구 구로5동"
"Q81078264","F","46","서울 서초구 서초4동"
"Q02230253","F","20","경기 화성시 송산면"
"Q15421048","F","24","강원 영월군 영월읍"
"Q59803020","F","24","경기 용인시 처인구 포곡읍"
"Q77320008","F","48","서울 서초구 잠원동"
"Q73847455","F","31","서울 서초구 서초1동"
"Q48059981","F","20","충남 서산시 동문동"
"Q98083630","F","65","서울 서초구 잠원동"
"Q27537390","M","49","경기 고양시 덕양구 관산동"
"Q25781852","M","48","서울 광진구 자양2동"
"Q99254520","F","46","경기 성남시 분당구 서현동"
"Q82152128","F","39",""
"Q60692830","F","23","경기 부천시 원미구 원미1동"
"Q71302766","F","23","경기 고양시 일산서구 탄현동"
"Q50818315","F","57","서울 서초구 잠원동"
"Q16431381","F","23","광주 광산구 장덕동"
"Q93346331","F","28","인천 서구 불로동"
"Q65097177","M","51","서울 강북구 수유3동"
"Q60961599","F","31","경기 고양시 덕양구 주교동"
"Q43755245","M","46","경기 남양주시 와부읍"
"Q29258203","F","47","서울 서초구 잠원동"
"Q92891482","F","46","서울 서초구 잠원동"
"Q70286857","M","59","서울 서초구 서초4동"
"Q40587578","M","25","서울 강북구 수유2동"
"Q29273921","F","34","서울 서초구 방배1동"
"Q12940337","M","40","경기 고양시 덕양구 고양동"
"Q10093308","M","40","경기 고양시 일산서구 일산3동"
"Q52382351","F","41","서울 서초구 잠원동"
"Q43929336","M","37","경기 남양주시 평내동"
"Q75588780","F","69","경기 용인시 수지구 풍덕천동"
"Q81318791","M","25","서울 서초구 잠원동"
"Q56164121","F","23","광주 서구 풍암동"
"Q55304332","M","32","서울 서초구 서초4동"
"Q59125860","F","49","경기 고양시 덕양구 토당동"
"Q79386569","F","25","경기 고양시 덕양구 동산동"
"Q76534465","M","66","전북 군산시 문화동"
"Q68634987","M","59","서울 서초구 서초4동"
"Q53038160","F","59","경기 고양시 덕양구 지축동"
"Q39807198","F","41","서울 서초구 서초4동"
"Q04109734","M","35","경기 고양시 덕양구 주교동"
"Q92902183","F","47","서울 서초구 잠원동"
"Q10003772","M","59","서울 서초구 잠원동"
"Q99799175","F","39","서울 양천구 목1동"
"Q04259699","M","71","서울 서초구 서초4동"
"Q74685601","M","28","경기 평택시 세교동"
"Q78690605","F","57","경기 안산시 상록구 사동"
"Q31969216","F","26","충북 청주시 흥덕구 개신동"
"Q79374103","M","62","경기 파주시 조리읍"
"Q83384006","F","21","경기 평택시 서정동"
"Q99490129","F","27","서울 관악구 청룡동"
"Q50450651","F","28","경기 양주시 장흥면"
"Q96830446","F","25","경기 고양시 덕양구 관산동"
"Q97137019","F","64","경기 고양시 덕양구 북한동"
"Q87231330","F","47","서울 노원구 상계9동"
"Q97662097","F","43","경기 고양시 덕양구 행신동"
"Q30986463","F","33","서울 서초구 잠원동"
"Q53655194","F","26","경기 고양시 일산동구 풍동"
"Q02362172","M","54","서울 송파구 문정2동"
"Q72739431","F","33","서울 서초구 잠원동"
"Q29401341","F","26","경기 고양시 일산서구 덕이동"
"Q66875011","M","70","서울 동작구 상도5동"
"Q59431754","M","28","경북 포항시 북구 두호동"
"Q60576033","F","50","경기 고양시 덕양구 관산동"
"Q74330727","F","53","서울 서초구 잠원동"
"Q00332774","F","62","서울 서초구 반포4동"
"Q42614124","M","63","서울 관악구 봉천1동"
"Q38750561","M","20","서울 서초구 서초4동"
"Q11640781","F","20","경남 김해시 내동"
"Q85118493","F","31","서울 양천구 신월7동"
"Q40947779","F","21","경북 포항시 북구 흥해읍"
"Q92472848","F","48",""
"Q70329772","F","24","경북 경주시 용강동"
"Q84063555","F","32","경기 의정부시 가능1동"
"Q79995244","F","28","경기 평택시 신장동"
"Q77402148","F","71","서울 관악구 청림동"
"Q98811587","F","63","경기 남양주시 별내면"
"Q83958640","M","38","경기 의정부시 호원1동"
"Q94084279","F","27","서울 관악구 남현동"
"Q02715145","F","45","서울 노원구 중계4동"
"Q09590141","M","34","서울 서초구 잠원동"
"Q18859185","F","53","경기 성남시 분당구 서현동"
"Q76532489","M","35","경기 고양시 일산동구 백석동"
"Q46762050","F","22","서울 구로구 개봉2동"
"Q36080320","F","53","경북 포항시 북구 흥해읍"
"Q92773994","F","26","서울 서초구 서초4동"
"Q74020554","M","31","부산 해운대구 재송1동"
"Q31782165","F","44","서울 서초구 잠원동"
"Q47723350","M","41","서울 서초구 방배1동"
"Q22718504","F","22","서울 서초구 잠원동"
"Q07269642","F","38","서울 서초구 잠원동"
"Q46006528","F","28","전북 군산시 나운동"
"Q11418474","F","51","서울 서초구 잠원동"
"Q02115194","F","32","서울 광진구 자양4동"
"Q08835078","F","32","경기 부천시 원미구 상동"
"Q29408174","F","24","서울 광진구 자양2동"
"Q96227798","F","53","경기 남양주시 수동면"
"Q09778816","F","27","경기 부천시 원미구 심곡1동"
"Q89361940","F","34","대구 수성구 수성동4가"
"Q03171990","F","52","서울 서초구 잠원동"
"Q97320239","F","39","경기 수원시 장안구 천천동"
"Q77775434","F","28","경기 고양시 덕양구 지축동"
"Q51880687","F","31","서울 서초구 잠원동"
"Q75693515","F","55","서울 서초구 서초1동"
"Q40584491","F","25","경기 고양시 덕양구 고양동"
"Q54929654","M","31","서울 서초구 잠원동"
"Q48064157","M","20","경기 양주시 장흥면"
"Q53852387","F","45","경남 김해시 장유면"
"Q18747521","F","26","서울 영등포구 대림2동"
"Q77396820","F","36","서울 서초구 서초4동"
"Q53910581","F","60","경기 양주시 장흥면"
"Q93511163","F","74","경기 고양시 덕양구 지축동"
"Q59798075","F","29","서울 강북구 삼양동"
"Q69532662","F","28","경기 구리시 수택동"
"Q75165326","F","43","서울 서초구 반포1동"
"Q48572095","F","33","서울 서초구 반포1동"
"Q60518270","F","31","제주 제주시 일도이동"
"Q77163205","M","29","부산 남구 대연1동"
"Q30292830","F","23","광주 서구 화정4동"
"Q74521420","F","46","부산 남구 대연5동"
"Q12115722","M","34","광주 광산구 월곡동"
"Q44661923","F","28","서울 송파구 석촌동"
"Q37377133","F","67","경기 양주시 장흥면"
"Q92096288","F","48","경기 고양시 덕양구 내유동"
"Q82419644","F","40","서울 서초구 반포1동"
"Q71047505","F","53","경기 고양시 덕양구 고양동"
"Q41055203","M","27","경기 안산시 상록구 부곡동"
"Q98102046","F","46","서울 서초구 잠원동"
"Q87861149","F","34","서울 서초구 잠원동"
"Q87250806","F","39","경기 고양시 덕양구 고양동"
"Q62153503","F","23","서울 서초구 잠원동"
"Q84629924","F","36","서울 서초구 잠원동"
"Q34284805","M","25","경기 고양시 덕양구 관산동"
"Q18651959","F","21","경기 양주시 장흥면"
"Q35423666","F","30","경기 고양시 덕양구 화정동"
"Q92630910","M","42","서울 서초구 잠원동"
"Q97535098","M","20","서울 서초구 서초1동"
"Q37094694","F","54","경기 고양시 덕양구 지축동"
"Q11743844","F","21","울산 동구 서부동"
"Q64572037","F","65","경기 고양시 일산동구 사리현동"
"Q44483729","F","29","서울 서초구 서초4동"
"Q09255470","F","35","서울 서초구 잠원동"
"Q20350430","F","25","충북 충주시 연수동"
"Q96973850","F","27","대전 대덕구 중리동"
"Q61177517","F","20","경기 광명시 광명6동"
"Q88555410","F","57","경기 파주시 조리읍"
"Q62448460","F","24","제주 제주시 조천읍"
"Q12346963","F","36","서울 서초구 잠원동"
"Q77530491","F","25","경기 수원시 장안구 정자3동"
"Q98392595","M","47","서울 서초구 서초4동"
"Q38054555","M","41","전북 익산시 신동"
"Q12205563","F","24","대구 남구 대명5동"
"Q34350814","F","53","경기 파주시 파주읍"
"Q15584878","F","38","서울 서초구 잠원동"
"Q14760091","F","54","서울 광진구 중곡동"
"Q28415752","M","31","서울 양천구 목1동"
"Q41404500","F","25","경기 의정부시 의정부3동"
"Q52011138","F","29","서울 서초구 잠원동"
"Q65101216","F","22",""
"Q56775966","M","20","서울 서초구 잠원동"
"Q21569478","F","39","서울 영등포구 당산동5가"
"Q58344819","F","55","경기 양주시 장흥면"
"Q90811794","F","44","서울 강북구 삼각산동"
"Q28770157","F","59","경기 양주시 장흥면"
"Q24669727","M","64","경기 구리시 교문동"
"Q05192940","F","59","경기 양주시 장흥면"
"Q76793971","F","34","서울 서초구 잠원동"
"Q57039368","F","37","서울 서초구 반포1동"
"Q97117137","F","53","서울 송파구 신천동"
"Q36788155","F","30","서울 서초구 잠원동"
"Q06727598","F","60","서울 서초구 서초1동"
"Q23448583","M","39","경북 영주시 하망동"
"Q67548812","F","39","서울 관악구 봉천동"
"Q24127439","F","44","경기 파주시 월롱면"
"Q05953418","M","67","서울 서초구 반포1동"
"Q63214479","M","61","경기 고양시 덕양구 삼송동"
"Q71690088","M","24","경기 수원시 장안구 천천동"
"Q03406781","M","44","서울 서초구 반포1동"
"Q54430970","M","32","서울 용산구 용산동2가"
"Q66997681","M","62","서울 노원구 상계6동"
"Q29957294","M","26","경기 파주시 와동동"
"Q59327438","F","39","서울 서초구 잠원동"
"Q59442467","F","22","울산 북구 진장동"
"Q48353811","F","35","서울 강서구 화곡2동"
"Q58342727","F","29","서울 서초구 반포1동"
"Q57822572","M","49","서울 강북구 송중동"
"Q43942108","F","32","서울 서초구 반포1동"
"Q47218122","F","25","경남 창녕군 대합면"
