"ID","가맹점ID","거래일자","구매금액","적립포인트","사용포인트"
"Q91325491","D","20140703","6800","68","0"
"Q91325491","D","20140812","1000","10","0"
"Q02441390","A","20140414","196000","312","0"
"Q02441390","A","20140418","330250","1651","0"
"Q02441390","A","20140522","121500","607","0"
"Q02441390","A","20140911","80600","402","0"
"Q02441390","A","20140918","120870","603","0"
"Q36833683","A","20140410","10000","10","0"
"Q36833683","A","20140427","20000","20","0"
"Q36833683","A","20140510","10000","10","0"
"Q36833683","A","20140512","14000","14","0"
"Q36833683","A","20140520","123390","616","0"
"Q36833683","A","20140531","11000","11","0"
"Q36833683","A","20140616","190000","950","0"
"Q36833683","A","20140623","10000","10","0"
"Q36833683","A","20140702","10000","10","0"
"Q36833683","A","20140713","8000","40","0"
"Q36833683","A","20140729","8500","8","0"
"Q36833683","A","20140730","10000","9","0"
"Q36833683","A","20140812","8500","0","8500"
"Q36833683","A","20140928","164730","823","0"
"Q36833683","A","20140930","2100","10","0"
"Q92188994","A","20140911","7000","7","0"
"Q61765026","A","20140423","22550","112","0"
"Q61765026","A","20140801","117430","116","0"
"Q64673774","D","20140418","1500","15","0"
"Q64673774","D","20140419","8950","89","0"
"Q64673774","A","20140513","176010","203","0"
"Q64673774","A","20140607","14500","72","0"
"Q61486628","A","20140430","256500","1282","0"
"Q61486628","A","20140718","159000","795","0"
"Q56783205","B","20140417","79430","79","0"
"Q56783205","A","20140511","91800","459","0"
"Q56783205","C","20140604","2200","11","0"
"Q56783205","A","20140719","75000","375","0"
"Q56783205","B","20140720","60450","60","0"
"Q56783205","A","20140909","6900","34","0"
"Q56783205","A","20140925","15300","76","0"
"Q55472052","A","20140413","66500","302","0"
"Q55472052","B","20140522","38500","38","0"
"Q55472052","B","20140612","51750","51","0"
"Q55472052","A","20140619","20000","100","0"
"Q55472052","B","20140918","33840","33","0"
"Q94940074","A","20140404","5040","25","0"
"Q94940074","A","20140418","1700","8","0"
"Q94940074","A","20140424","5760","28","0"
"Q94940074","A","20140502","5760","28","0"
"Q94940074","A","20140523","50000","50","0"
"Q94940074","D","20140701","5350","53","0"
"Q94940074","B","20140805","49100","49","0"
"Q94940074","A","20140905","9360","8","0"
"Q32679025","C","20140615","16400","82","0"
"Q32679025","B","20140830","132300","132","0"
"Q74475192","A","20140403","7450","7","0"
"Q74475192","A","20140404","140000","700","0"
"Q74475192","D","20140423","6500","65","0"
"Q74475192","A","20140501","11000","55","0"
"Q74475192","A","20140508","38700","193","0"
"Q74475192","C","20140516","7100","35","0"
"Q74475192","C","20140523","850","4","0"
"Q74475192","D","20140602","6000","60","0"
"Q74475192","E","20140604","9450","94","0"
"Q74475192","D","20140623","8000","80","0"
"Q74475192","D","20140626","4300","43","0"
"Q74475192","D","20140628","8300","0","8300"
"Q74475192","D","20140709","9150","91","0"
"Q74475192","D","20140716","8950","89","0"
"Q74475192","D","20140720","1000","10","0"
"Q74475192","C","20140722","3700","18","0"
"Q74475192","D","20140723","8150","81","0"
"Q74475192","D","20140807","3750","37","0"
"Q74475192","D","20140820","2100","21","0"
"Q74475192","D","20140822","5050","50","0"
"Q74475192","D","20140829","2400","24","0"
"Q51064702","D","20140401","3300","33","0"
"Q51064702","B","20140402","115620","575","0"
"Q51064702","D","20140402","2850","28","0"
"Q51064702","D","20140411","2100","21","0"
"Q51064702","D","20140413","6100","61","0"
"Q51064702","D","20140414","1500","15","0"
"Q51064702","D","20140416","2800","28","0"
"Q51064702","D","20140422","4850","48","0"
"Q51064702","B","20140423","34590","165","0"
"Q51064702","D","20140423","10100","101","0"
"Q51064702","D","20140424","2850","28","0"
"Q51064702","B","20140428","22650","110","0"
"Q51064702","B","20140429","12000","60","0"
"Q51064702","B","20140501","34860","170","0"
"Q51064702","B","20140515","51880","255","0"
"Q51064702","D","20140516","3900","39","0"
"Q51064702","B","20140517","23730","115","0"
"Q51064702","B","20140518","36900","180","0"
"Q51064702","D","20140528","6100","61","0"
"Q51064702","E","20140603","5900","59","0"
"Q51064702","B","20140607","65900","325","0"
"Q51064702","B","20140613","11100","55","0"
"Q51064702","D","20140615","12950","129","0"
"Q51064702","D","20140621","3900","39","0"
"Q51064702","E","20140624","3750","37","0"
"Q51064702","B","20140625","100660","500","0"
"Q51064702","D","20140625","4300","43","0"
"Q51064702","B","20140626","21700","105","0"
"Q51064702","E","20140626","3750","37","0"
"Q51064702","E","20140629","7450","74","0"
"Q51064702","B","20140702","40730","40","0"
"Q51064702","B","20140706","34600","34","0"
"Q51064702","E","20140708","5150","51","0"
"Q51064702","E","20140718","1450","14","0"
"Q51064702","B","20140722","71500","33","19250"
"Q51064702","E","20140816","9600","96","0"
"Q51064702","B","20140818","338100","337","0"
"Q51064702","B","20140826","33100","33","0"
"Q51064702","E","20140830","7450","74","0"
"Q53431951","A","20140409","7460","37","0"
"Q53431951","A","20140430","383500","1517","0"
"Q53431951","A","20140505","233150","1137","0"
"Q53431951","A","20140519","53550","267","0"
"Q53431951","A","20140529","100300","475","5300"
"Q53431951","A","20140530","5000","5","0"
"Q53431951","A","20140617","17000","85","0"
"Q53431951","A","20140624","94000","390","0"
"Q53431951","A","20140626","15000","75","0"
