id,area,sido,pop10,pop18,diff,fLQ07,fLQ18
0,수도권,서울특별시,10312545,9765623,-546922,0.797336,0.2860525
1,동남권,부산광역시,3567910,3441453,-126457,1.0320219,0.8103998
2,대경권,대구광역시,2511676,2461769,-49907,1.263635,1.00094
3,수도권,인천광역시,2758296,2954642,196346,1.2842616,1.2753654
4,전라권,광주광역시,1454636,1459336,4700,0.7605516,0.7573412
5,충청권,대전광역시,1503664,1489936,-13728,0.6980963,0.5338963
6,동남권,울산광역시,1126298,1155623,29325,0.7428562,1.7929528
7,충청권,세종특별자치시,NA,314126,0,0,1.0086325
8,수도권,경기도,11786622,13077153,1290531,1.3245548,1.3834599
9,강원도,강원도,1529818,1543052,13234,0.5558365,0.5041412
10,충청권,충청북도,1549528,1599252,49724,0.8889175,1.5312725
11,충청권,충청남도,2075514,2126282,50768,0.9245121,1.6689512
12,전라권,전라북도,1868963,1836832,-32131,0.8064788,0.9096661
13,전라권,전라남도,1918485,1882970,-35515,0.8768283,0.8492344
14,대경권,경상북도,2689920,2676831,-13089,1.0213355,1.557601
15,동남권,경상남도,3290536,3373988,83452,1.1778151,1.6200213
16,제주도,제주특별자치도,571255,667191,95936,0.4577703,0.2340971
