sido,내과,신경과,정신건강의학과,외과,정형외과,신경외과,흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,전문과목미표시전문의,일반의
남구,26,1,3,7,10,1,0,2,4,8,15,5,10,7,4,0,1,0,0,0,0,1,29,11
동구,12,0,6,1,3,3,0,0,6,3,2,3,6,0,5,2,0,0,0,1,1,1,14,15
동래구,27,0,4,7,14,4,0,0,6,9,10,9,13,9,7,3,1,0,0,1,0,3,17,21
진구,45,0,13,13,18,2,3,46,10,16,25,15,19,16,16,5,0,0,3,0,0,5,60,36
북구,23,1,5,8,9,1,0,1,7,8,15,7,12,6,8,2,0,0,0,1,0,1,20,16
서구,13,0,1,1,4,1,0,0,0,2,2,3,3,1,3,1,0,0,0,0,0,0,17,10
영도구,11,0,2,5,4,1,0,0,2,8,6,3,5,2,0,1,0,0,0,1,0,0,16,14
중구,8,1,2,3,3,1,0,2,5,5,1,2,7,4,7,0,0,0,0,1,0,2,10,11
해운대구,37,1,7,10,15,6,1,7,5,12,29,10,18,10,8,1,0,0,0,1,0,1,50,22
사하구,32,1,4,7,11,3,1,2,6,5,18,11,16,8,9,2,0,0,0,0,0,2,18,13
금정구,25,0,2,6,10,1,0,0,4,6,8,8,14,4,3,0,0,0,0,0,0,2,14,17
강서구,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3
연제구,24,3,6,9,12,0,1,0,6,5,12,5,10,5,6,1,0,0,0,1,0,1,15,12
수영구,21,1,4,5,5,1,0,3,3,8,4,3,7,3,3,1,0,0,0,1,0,2,11,13
사상구,13,2,3,3,7,2,0,0,3,6,11,5,9,2,6,0,0,0,0,1,0,5,21,12
기장군,6,0,1,3,4,0,0,0,0,0,5,2,2,1,1,0,0,0,0,0,0,0,10,9
